Iteration	Sum_of_Squares	Accepted
366	14362.982222222223	no
367	16932.257777777777	no
368	23598.04888888889	no
369	20215.702222222215	no
370	22966.18666666667	no
371	24947.466666666674	no
372	24386.351111111115	no
373	23553.484444444442	no
374	20720.733333333334	no
375	17938.34222222223	no
376	22209.591111111113	no
377	27889.680000000008	no
378	24912.644444444442	no
379	20568.24	no
380	24871.40888888889	no
381	19264.075555555555	no
382	20880.613333333346	no
383	14864.53777777778	no
384	22916.08888888889	no
385	14497.164444444446	no
386	21284.01333333334	no
387	24288.524444444454	no
388	18762.906666666666	no
389	19980.857777777775	no
390	23993.20888888889	no
391	31039.044444444444	no
392	17279.688888888893	no
393	22316.124444444453	no
394	23883.573333333337	no
395	52325.39111111109	no
396	32967.84444444445	no
397	18072.13777777778	no
398	20176.008888888886	no
399	18538.68	no
400	26220.36888888889	no
401	23111.92888888889	no
402	15928.368888888886	no
403	25453.13333333333	no
404	28967.773333333338	no
405	23851.008888888893	no
406	29456.066666666673	no
407	23642.622222222224	no
408	24909.057777777783	no
409	26386.537777777776	no
410	23954.097777777773	no
411	19464.764444444452	no
412	21816.29333333334	no
413	17412.653333333343	no
414	22522.862222222226	no
415	32971.31999999999	no
416	20074.14666666666	no
417	16105.502222222225	no
418	22857.737777777787	no
419	24805.89333333333	no
420	22194.73777777778	no
421	28758.60888888889	no
422	22228.128888888892	no
423	38662.99111111113	no
424	31220.822222222225	no
425	21459.586666666677	no
426	16955.13333333334	no
427	17585.97777777778	no
428	23896.786666666663	no
429	37558.61333333335	no
430	15037.151111111118	no
431	20634.008888888893	no
432	20124.426666666666	no
433	20469.204444444455	no
434	22427.82222222224	no
435	21679.11555555556	no
436	18834.32444444445	no
437	23372.675555555557	no
438	25061.0	no
439	17742.06222222223	no
440	21396.644444444442	no
441	22760.08000000001	no
442	18708.635555555556	no
443	25263.679999999997	no
444	28423.106666666667	no
445	21259.25333333334	no
446	21767.071111111116	no
447	23047.777777777774	no
448	16876.12888888889	no
449	18971.47111111111	no
450	27736.839999999993	no
