Iteration	SSE	Accepted
86	26902.7725	no
87	26247.89250000001	no
88	26584.392499999994	no
89	27785.072500000017	no
90	26909.552500000005	no
91	27902.272499999992	no
92	27985.052499999983	no
93	29293.39250000001	no
94	27237.272499999992	no
95	28046.112499999992	no
96	27437.35250000001	no
97	25883.872500000012	no
98	26409.112500000003	no
99	27682.072500000002	no
100	26321.132500000003	no
101	31216.852500000005	no
102	26876.992500000022	no
103	26982.052499999998	no
104	28265.852499999994	no
105	28699.852500000008	no
106	27881.832499999982	no
107	28721.2725	no
108	28201.8125	no
109	28445.7125	no
110	27102.132500000014	no
111	28261.192499999994	no
112	27730.272500000014	no
113	26660.03250000001	no
114	27742.632500000003	no
115	28641.592500000006	no
116	27527.992499999986	no
117	26871.112500000007	no
118	26697.252500000024	no
119	27234.3125	no
120	26012.4525	yes
121	26982.472499999996	yes
122	27084.732500000016	yes
123	26808.01250000001	yes
124	29277.7925	no
125	27687.472500000007	no
126	29554.512500000004	no
127	28285.83249999999	no
128	27263.61249999998	yes
129	27928.51250000001	no
130	28146.132500000007	no
131	26949.852500000005	yes
132	26786.4925	yes
133	27411.9125	no
134	28927.532499999994	no
135	27491.972499999996	no
136	28169.83250000001	no
137	28345.71250000001	no
138	26741.87250000002	yes
139	26347.23250000002	yes
140	28891.152500000004	no
141	28510.272500000003	no
142	26155.33250000001	yes
143	29007.7525	no
144	26665.4125	no
145	28981.612500000017	no
146	27829.972500000007	no
147	28406.01250000001	no
148	27172.492500000008	no
149	27324.052500000013	yes
150	26842.252499999995	yes
151	26860.832499999997	yes
152	28138.932500000014	no
153	27971.412500000013	no
154	29042.192500000005	no
155	26093.032500000016	yes
156	26972.092500000006	no
157	28172.55249999999	no
158	28183.31249999998	no
159	26653.732499999995	no
160	27201.552500000013	no
161	29514.632499999992	no
162	27990.852499999997	no
163	25989.0325	yes
164	26506.212500000023	yes
165	25873.13250000002	yes
166	26920.252500000002	no
167	27716.872499999998	no
168	27678.0325	no
169	27655.512500000004	no
170	26704.272500000014	no
171	28685.412500000013	no
172	27099.65249999999	no
173	28272.81250000001	no
174	26872.432500000014	no
175	28440.792499999996	no
176	27201.152499999997	yes
