Iteration	SSE	Accepted
1	13923.1181	yes
2	13139.008100000001	yes
3	16249.608099999994	no
4	14035.916099999999	no
5	14415.966100000001	no
6	16157.362099999995	no
7	14246.678100000008	no
8	14882.300100000004	no
9	13842.412099999998	yes
10	13393.934099999997	yes
11	13160.266100000003	yes
12	13625.760100000003	no
13	12974.5241	yes
14	12963.2281	yes
15	12867.238100000002	yes
16	14186.422100000005	no
17	14534.2601	no
18	14577.9861	no
19	16594.806099999998	no
20	15116.376100000007	no
21	13241.414099999995	no
22	13533.348100000007	no
23	12026.118099999996	yes
24	14435.878099999998	no
25	12813.4921	no
26	13659.976099999996	no
27	14906.954099999997	no
28	19872.950100000005	no
29	14351.408099999995	no
30	14860.0481	no
31	14780.374099999994	no
32	12515.380099999998	no
33	17001.766100000004	no
34	14392.754099999996	no
35	11951.6901	yes
36	13936.034099999997	no
37	15580.896100000005	no
38	14648.964100000005	no
39	14137.73010000001	no
40	14255.384099999988	no
41	14468.944100000004	no
42	13512.3601	no
43	14778.608100000001	no
44	13010.988100000006	no
45	13659.192100000004	no
46	12957.8041	no
47	15258.718100000002	no
48	14152.7221	no
49	13158.614099999999	yes
50	14621.234100000001	no
51	13914.7981	yes
52	13942.826099999998	yes
53	13047.222099999997	yes
54	12281.824100000002	yes
55	13198.786099999998	no
56	12075.042100000002	yes
57	12976.1401	no
58	12317.490100000005	no
59	14148.174099999998	no
60	14350.020099999996	no
61	14333.418099999994	no
62	13418.128099999993	no
63	12567.922100000003	no
64	15037.872099999997	no
65	13526.194099999997	no
66	13570.4961	no
67	12651.600100000001	no
68	14579.844100000002	no
69	12644.384100000003	no
70	6156.150100000003	yes
71	6607.3221	yes
72	7533.016099999994	no
73	6645.722100000001	yes
74	5583.952099999997	yes
75	5817.3781	yes
76	7162.168100000001	no
77	7570.0320999999985	no
78	6872.750099999999	no
79	6388.2081	yes
80	6653.0321	yes
81	6888.5121	no
82	8657.2681	no
83	8517.7241	no
84	7608.1200999999965	no
85	6673.6361000000015	yes
86	6840.892099999999	yes
87	7441.258099999999	no
88	5707.9920999999995	yes
89	6804.446099999997	no
90	5744.958099999998	yes
91	6877.378099999998	no
92	6324.452100000002	yes
93	7629.814100000002	no
94	7204.262099999998	no
95	6874.356100000006	no
96	6923.938099999998	no
97	6957.328099999999	no
98	6347.584099999998	yes
99	7934.720099999997	no
100	6253.3821	yes
101	6305.138099999998	yes
102	6763.146099999998	yes
103	8539.1541	no
104	5253.2161	yes
105	8268.9381	no
106	8068.2481000000025	no
107	6129.156099999998	no
108	8052.544099999996	no
109	6866.8961	no
110	7480.818099999999	no
111	6634.585999999998	no
112	9504.962099999999	no
113	7815.6860000000015	no
114	7565.664099999998	no
115	5862.866099999999	yes
116	6819.414099999996	no
117	6187.718100000004	yes
118	6594.270099999998	no
119	6265.888099999999	yes
120	7874.340099999996	no
121	6480.1901	yes
122	7851.100099999996	no
123	5571.492099999998	yes
124	7162.526099999998	yes
125	7152.598100000005	yes
126	7367.912099999998	yes
127	7513.350099999998	no
128	5753.662099999998	yes
129	6549.088100000002	no
130	8876.740100000003	no
