start	stop	current_strength	previous_strength	value
26	121	0.0	0.0	0.0
159	280	0.0	0.0	0.0
319	449	0.0	0.0	0.0
1	10	21383537467.93693	21383558786.380276	0.0
133	142	749045.8458440378	686699.3484947373	0.0
0	0	132686.74075595522	65815.07571091317	0.0
0	0	0.0	0.0	0.0
0	0	0.0	0.0	0.0
292	302	0.0	0.0	0.0
131	132	0.04084667975191281	0.04084667975191281	0.0
312	313	0.24654811280425315	0.24654811280425315	0.0
449	450	0.5261054157417842	0.5261054157417842	0.0
0	0	0.0	0.0	0.0002818791765857199
0	0	0.0	0.0	0.00037634114212348267
11	25	0.0	0.0	0.0
122	132	0.0	0.0	0.0
133	143	0.0	0.0	0.0
144	159	0.0	0.0	0.0
281	291	0.0	0.0	0.0
292	302	0.0	0.0	0.0
303	318	0.0	0.0	0.0
