start	stop	current_strength	previous_strength	value
26	121	0.0	0.0	0.0
159	280	0.0	0.0	0.0
319	449	0.0	0.0	0.0
1	10	5048915224.5105915	5048816761.924582	0.0
0	0	1268919.0442424065	1193928.1941782385	0.0
0	0	2388696.2803737996	2422858.7457261565	0.0
0	0	0.0	0.0	0.0
0	0	0.0	0.0	0.0
0	0	0.0	0.0	0.0
156	157	0.4976627538584006	0.4976627538584006	0.0
284	285	0.6857500687201439	0.6857500687201439	0.0
449	450	0.039397849913434285	0.039397849913434285	0.0
0	0	0.0	0.0	5.173883189049313e-19
0	0	0.0	0.0	-3.381262365706021e-19
11	25	0.0	0.0	0.0
122	132	0.0	0.0	0.0
133	143	0.0	0.0	0.0
144	159	0.0	0.0	0.0
281	291	0.0	0.0	0.0
292	302	0.0	0.0	0.0
303	318	0.0	0.0	0.0
