Iteration	Sum_of_Squares	Accepted
234	415788.80000000005	no
235	597693.5999999999	no
236	586785.6000000001	no
237	745295.5999999999	no
238	745295.5999999999	no
239	745295.5999999999	no
240	549408.4	no
241	549408.4	no
242	445542.6	no
243	374882.0	no
244	501470.4	no
245	350545.2	no
246	366379.5999999999	no
247	366379.5999999999	no
248	339971.60000000003	no
249	221810.40000000002	no
250	170489.00000000003	no
251	170489.00000000003	no
252	133891.2	no
253	169647.99999999997	no
254	86522.6	no
255	86522.6	no
256	139958.40000000002	no
257	92709.20000000001	no
258	298377.20000000007	no
259	282560.3999999999	no
260	205106.80000000002	no
261	205106.80000000002	no
262	235881.59999999992	no
263	392864.4	no
264	150296.19999999998	no
265	166564.4	no
266	149013.00000000003	no
267	149013.00000000003	no
268	188344.79999999996	no
269	225621.80000000005	no
270	225621.80000000005	no
271	225621.80000000005	no
272	257405.4	no
273	372358.7999999998	no
274	372358.7999999998	no
275	374249.19999999995	no
276	374249.19999999995	no
277	374249.19999999995	no
278	510123.80000000005	no
279	449552.99999999994	no
280	504502.19999999995	no
281	449552.99999999994	no
282	372358.7999999998	no
283	319677.8	no
284	319677.8	no
285	319677.8	no
286	319677.8	no
287	339969.4	no
288	392945.6	no
289	373481.6	no
290	373481.6	no
291	373481.6	no
292	462171.8	no
293	462171.8	no
294	462171.8	no
295	462171.8	no
296	462171.8	no
297	462171.8	no
298	470103.4	no
299	486130.99999999994	no
300	486130.99999999994	no
301	364452.0	no
302	190469.60000000003	no
303	168992.19999999998	no
304	168992.19999999998	no
305	133959.4	no
306	148651.4	no
307	213577.6	no
308	272904.2	no
309	272904.2	no
310	213577.6	no
311	323782.0	no
312	228113.6	no
313	242139.80000000002	no
314	242139.80000000002	no
315	242139.80000000002	no
316	323782.0	no
317	223939.00000000003	no
318	223939.00000000003	no
319	302503.6	no
320	271290.2	no
321	217371.19999999998	no
322	578672.6000000001	no
323	455525.39999999997	no
324	455525.39999999997	no
325	455525.39999999997	no
326	496647.0	no
327	371221.19999999995	no
328	371221.19999999995	no
329	354743.80000000005	no
330	533462.7999999999	no
331	533462.7999999999	no
332	533462.7999999999	no
333	569264.8	no
334	569264.8	no
335	534226.3999999999	no
336	239459.99999999997	no
337	239459.99999999997	no
338	253135.0	no
339	239459.99999999997	no
340	306626.4	no
