Iteration	SSE	Accepted
135	7808.3825	no
136	7421.435000000003	yes
137	7562.722500000001	yes
138	7307.337499999996	yes
139	7828.922500000002	yes
140	7414.8425000000025	yes
141	7857.410000000001	no
142	6865.977500000001	yes
143	7349.134999999997	yes
144	6613.255000000001	yes
145	6904.714999999999	no
146	6117.9175	yes
147	7797.844999999999	no
148	7719.714999999998	no
149	7416.544999999998	no
150	7555.622499999998	no
151	8228.424999999996	no
152	7171.404999999999	no
153	7222.52	no
154	7015.687499999998	no
155	6969.8625	no
156	8052.93	no
157	7308.790000000001	no
158	6866.520000000001	no
159	7452.857499999997	no
160	10931.512499999997	no
161	6828.5925	no
162	12689.659999999996	no
163	8014.4725	no
164	6906.759999999998	no
165	6845.424999999999	no
166	7550.504999999999	no
167	8688.0275	no
168	7575.705	no
169	7470.8975	no
170	7218.032500000001	yes
171	6866.6574999999975	yes
172	6575.499999999998	yes
173	7070.397500000001	no
174	6506.312499999998	yes
175	9997.000000000007	no
176	7179.582499999995	no
177	6744.252500000001	yes
178	16293.992499999998	no
179	6482.032499999999	yes
180	7425.632499999997	no
181	7562.602500000001	yes
182	6661.2824999999975	yes
183	5846.077499999999	yes
184	6772.200000000001	no
185	6290.155000000001	yes
186	6438.965	no
187	5733.3625	yes
188	6969.704999999999	no
189	5622.859999999998	yes
190	6314.115000000001	no
191	6015.069999999999	no
192	5429.672499999999	yes
193	6139.8150000000005	no
194	5525.994999999996	yes
195	6793.4000000000015	no
196	5373.89	yes
197	6422.027500000003	no
198	6189.0125	no
199	5445.819999999998	yes
200	5461.279999999999	yes
201	6513.125000000001	no
202	5465.985000000001	yes
203	4700.9400000000005	yes
204	9556.7025	no
205	4844.544999999998	yes
206	4546.427500000002	yes
207	4527.8775	yes
208	4174.209999999999	yes
209	3551.2400000000002	yes
210	3768.8250000000016	yes
211	3386.217499999999	yes
212	4146.565	no
213	3729.7300000000005	no
214	4172.09	no
215	5290.81	no
216	4594.8325	no
217	4767.232499999996	no
218	4809.674999999999	no
219	4394.279999999999	yes
220	3523.5525000000007	yes
221	4050.5775000000012	yes
222	3132.807500000001	yes
223	3875.0674999999987	no
224	4002.892499999999	no
225	3392.547499999999	yes
226	3510.444999999999	yes
227	2294.5674999999997	yes
228	2409.0425000000005	no
229	2236.342499999999	yes
230	3974.3575	no
231	2522.1725000000006	yes
232	1778.0575000000003	yes
233	2945.9799999999977	no
234	1471.1549999999997	yes
235	1972.1775000000007	no
236	1461.8224999999995	yes
237	1563.3874999999998	yes
238	1374.0950000000005	yes
239	1778.4924999999998	no
240	1580.7724999999996	yes
241	2301.3424999999997	yes
242	1922.65	yes
243	2550.4975000000013	no
244	2560.555000000001	no
245	2424.354999999999	no
246	3266.0499999999993	no
247	2698.3125	yes
248	2170.2774999999992	yes
249	2917.07	no
250	2736.9749999999995	no
251	3294.3150000000014	no
252	3547.152499999999	no
253	2726.442499999999	no
254	2661.7149999999997	no
255	3616.7700000000004	no
256	2597.955	yes
257	3443.19	no
258	3153.9375	no
259	3247.165000000001	no
260	3089.9699999999993	no
261	2488.9849999999988	yes
262	2607.657500000001	yes
263	1851.7924999999998	yes
264	1093.495	yes
265	697.6924999999997	yes
266	490.3175	yes
267	399.2475	yes
268	536.5599999999998	yes
269	839.9750000000001	yes
270	718.8824999999999	yes
271	876.04	yes
272	614.595	yes
273	1429.5800000000004	no
274	1609.9849999999997	no
