Iteration	SSE	Accepted
408	2191.9200000000005	no
409	1397.4525	yes
410	1736.6199999999997	yes
411	1680.9049999999995	yes
412	1311.1374999999998	yes
413	1497.2174999999997	yes
414	1240.9800000000005	yes
415	1648.0074999999997	yes
416	1534.4124999999995	yes
417	1882.2949999999998	yes
418	1001.1900000000003	yes
419	1739.0900000000013	no
420	1719.0675000000003	yes
421	1523.7000000000003	yes
422	1371.7199999999998	yes
423	1029.1725000000001	yes
424	1333.4099999999999	yes
425	1603.8474999999999	no
426	1674.020000000001	no
427	1264.2349999999997	yes
428	1808.4250000000006	no
429	757.1875	yes
430	856.9900000000001	no
431	992.3774999999998	yes
432	823.8025	yes
433	796.9699999999998	yes
434	852.0649999999999	yes
435	1017.1550000000007	no
436	1025.3150000000003	no
437	1286.755	yes
438	1042.805	yes
439	1011.4425000000002	yes
440	535.7775000000004	yes
441	1074.1175	yes
442	1033.6375	yes
443	726.825	yes
444	685.68	yes
445	907.5424999999999	no
446	1553.27	no
447	980.3424999999999	yes
448	1303.2324999999998	yes
449	1134.8775000000003	yes
450	857.6375000000003	yes
451	1294.9800000000002	yes
452	1105.845	yes
453	746.1449999999999	yes
454	565.9075000000003	yes
455	509.20249999999976	yes
456	573.2550000000006	yes
457	565.6650000000001	yes
458	1005.6375000000007	no
459	532.3250000000002	yes
460	964.25	no
461	658.145	yes
462	827.2725000000005	no
463	813.9950000000003	yes
464	844.9499999999998	yes
465	827.7650000000002	yes
466	1163.3325000000004	yes
467	838.9500000000003	yes
468	790.1350000000007	yes
469	804.1525000000004	yes
470	643.7450000000003	yes
471	604.7175000000001	yes
472	740.795	yes
473	758.1225000000002	yes
474	479.1825000000004	yes
475	709.4525000000001	no
476	644.9300000000002	yes
477	550.1275000000005	yes
478	703.4575	yes
479	548.065	yes
480	532.9175	yes
481	668.55	yes
482	609.77	yes
483	620.7449999999998	yes
484	814.3424999999999	yes
485	604.7825000000001	yes
486	468.5400000000002	yes
