start	stop	current_strength	previous_strength	value
26	121	0.0	0.0	0.0
159	280	0.0	0.0	0.0
319	449	0.0	0.0	0.0
1	10	9902424458.251532	9902273910.629238	0.0
0	0	8437790.876657462	8421917.718036229	0.0
282	291	1446762.7117733988	1549245.6620396734	0.0
14	24	0.0	0.0	0.0
0	0	0.0	0.0	0.0
0	0	0.0	0.0	0.0
130	131	0.009804065872392909	0.009804065872392909	0.0
315	316	0.7428208183101301	0.7428208183101301	0.0
449	450	0.6422106118980657	0.6422106118980657	0.0
0	0	0.0	0.0	5.781851207035528e-08
0	0	0.0	0.0	1.0652983858673109e-07
11	25	0.0	0.0	0.0
122	132	0.0	0.0	0.0
133	143	0.0	0.0	0.0
144	159	0.0	0.0	0.0
281	291	0.0	0.0	0.0
292	302	0.0	0.0	0.0
303	318	0.0	0.0	0.0
