start	stop	current_strength	previous_strength	value
26	121	0.0	0.0	0.0
159	280	0.0	0.0	0.0
319	449	0.0	0.0	0.0
1	10	669457320.2992969	669376440.0170658	0.0
134	143	1337372.7893339936	1277605.6745638284	0.0
0	0	2197728.9691448305	2376240.6081767958	0.0
0	0	0.0	0.0	0.0
0	0	0.0	0.0	0.0
0	0	0.0	0.0	0.0
129	130	0.39054289688718513	0.39054289688718513	0.0
312	313	0.980326531960588	0.980326531960588	0.0
449	450	0.4847413489525148	0.4847413489525148	0.0
0	0	0.0	0.0	8.508040754939778e-07
0	0	0.0	0.0	8.616578520018657e-07
11	25	0.0	0.0	0.0
122	132	0.0	0.0	0.0
133	143	0.0	0.0	0.0
144	159	0.0	0.0	0.0
281	291	0.0	0.0	0.0
292	302	0.0	0.0	0.0
303	318	0.0	0.0	0.0
