start	stop	current_strength	previous_strength	value
26	121	0.0	0.0	0.0
159	280	0.0	0.0	0.0
319	449	0.0	0.0	0.0
1	10	20740860022.827934	20740978822.197807	0.0
133	142	1878409.8601406915	1932342.4939399876	0.0
282	291	746083.020798569	799597.9131658948	0.0
0	0	0.0	0.0	0.0
0	0	0.0	0.0	0.0
0	0	0.0	0.0	0.0
154	155	0.09132858735754273	0.09132858735754273	0.0
306	307	0.5598339981769551	0.5598339981769551	0.0
449	450	0.8064305314262309	0.8064305314262309	0.0
0	0	0.0	0.0	1.2024588207536298e-07
0	0	0.0	0.0	1.3605450491503345e-07
11	25	0.0	0.0	0.0
122	132	0.0	0.0	0.0
133	143	0.0	0.0	0.0
144	159	0.0	0.0	0.0
281	291	0.0	0.0	0.0
292	302	0.0	0.0	0.0
303	318	0.0	0.0	0.0
