start	stop	current_strength	previous_strength	value
26	121	0.0	0.0	0.0
159	280	0.0	0.0	0.0
319	449	0.0	0.0	0.0
1	10	7810858993.826594	7810898128.239073	0.0
0	0	165610.73658695366	291495.88342844445	0.0
292	301	385527.70853952004	395038.67292771494	0.0
0	0	0.0	0.0	0.0
0	0	0.0	0.0	0.0
307	317	0.0	0.0	0.0
149	150	0.11411347695412444	0.11411347695412444	0.0
306	307	0.371522554504527	0.371522554504527	0.0
449	450	0.763344916807202	0.763344916807202	0.0
0	0	0.0	0.0	3.985077526516663e-11
0	0	0.0	0.0	4.935913376087765e-11
11	25	0.0	0.0	0.0
122	132	0.0	0.0	0.0
133	143	0.0	0.0	0.0
144	159	0.0	0.0	0.0
281	291	0.0	0.0	0.0
292	302	0.0	0.0	0.0
303	318	0.0	0.0	0.0
