Iteration	Sum_of_Squares	Accepted
352	88595.0	no
353	112475.0	no
354	168246.0	no
355	168246.0	no
356	136321.0	no
357	142130.0	no
358	136236.0	no
359	136236.0	no
360	136236.0	no
361	136236.0	no
362	67571.0	no
363	28928.0	no
364	38681.0	no
365	117502.0	no
366	117502.0	no
367	143617.0	no
368	117502.0	no
369	89679.0	no
370	70307.0	no
371	70307.0	no
372	57851.0	no
373	57851.0	no
374	57851.0	no
375	57851.0	no
376	84274.0	no
377	93904.0	no
378	93904.0	no
379	93904.0	no
380	89234.0	no
381	76818.0	no
382	69743.0	no
383	82280.0	no
384	81538.0	no
385	90061.0	no
386	154478.0	no
387	160557.0	no
388	160557.0	no
389	130503.0	no
390	136597.0	no
391	154478.0	no
392	134102.0	no
393	149817.0	no
394	132952.0	no
395	173464.0	no
396	132952.0	no
397	137384.0	no
398	92261.0	no
399	107972.0	no
400	97378.0	no
401	60495.0	no
402	60495.0	no
403	112713.0	no
404	106728.0	no
405	122562.0	no
406	65979.0	no
407	200995.0	no
408	65979.0	no
409	106618.0	no
410	106618.0	no
411	55550.0	no
412	31719.0	no
413	42059.0	no
414	60663.0	no
415	71564.0	no
416	71564.0	no
417	60663.0	no
418	78844.0	no
419	121804.0	no
420	68541.0	no
421	68541.0	no
422	60659.0	no
423	70137.0	no
424	70137.0	no
425	98575.0	no
426	146213.0	no
427	155559.0	no
428	133905.0	no
429	109507.0	no
430	85502.0	no
431	100087.0	no
432	154619.0	no
433	154619.0	no
434	111346.0	no
435	60938.0	no
436	55222.0	no
437	55222.0	no
438	112662.0	no
439	104649.0	no
440	104649.0	no
441	101559.0	no
442	101559.0	no
443	101559.0	no
444	95761.0	no
445	78233.0	no
446	71479.0	no
447	66986.0	no
448	109189.0	no
449	179495.0	no
450	179495.0	no
451	179495.0	no
452	137696.0	no
453	60534.0	no
454	79228.0	no
455	79228.0	no
456	65206.0	no
457	22964.0	no
458	22964.0	no
459	10656.0	no
460	24197.0	no
461	77974.0	no
462	117197.0	no
463	81228.0	no
464	77416.0	no
465	142432.0	no
466	121922.0	no
467	143879.0	no
468	129698.0	no
469	164691.0	no
470	152839.0	no
471	67443.0	no
472	67443.0	no
473	7188.0	no
474	7188.0	no
475	11233.0	no
476	23254.0	no
477	69410.0	no
478	92619.0	no
479	76641.0	no
480	48641.0	no
481	66134.0	no
482	87274.0	no
483	93699.0	no
484	97391.0	no
485	111414.0	no
486	111414.0	no
487	111414.0	no
488	84063.0	no
489	108041.0	no
490	86822.0	no
491	81238.0	no
492	81238.0	no
493	108679.0	no
494	108679.0	no
495	100327.0	no
496	95965.0	no
497	94741.0	no
498	126769.0	no
499	94741.0	no
500	94741.0	no
501	97069.0	no
502	70360.0	no
503	47873.0	no
504	69308.0	no
505	216660.0	no
506	233528.0	no
507	275282.0	no
508	275282.0	no
509	242647.0	no
510	65291.0	no
511	43561.0	no
512	64433.0	no
513	64904.0	no
514	64904.0	no
515	148050.0	no
516	148050.0	no
517	148050.0	no
518	172584.0	no
519	148050.0	no
520	148050.0	no
521	178705.0	no
522	159601.0	no
523	60439.0	no
524	60439.0	no
525	66522.0	no
526	61292.0	no
527	76934.0	no
528	72626.0	no
529	182129.0	no
530	182129.0	no
531	173410.0	no
532	130028.0	no
533	139661.0	no
534	116675.0	no
535	112236.0	no
536	135778.0	no
537	114405.0	no
538	114405.0	no
539	27254.0	no
540	23893.0	no
541	79584.0	no
542	79584.0	no
543	46944.0	no
544	34324.0	no
545	78594.0	no
546	53411.0	no
547	53411.0	no
548	40290.0	no
549	43796.0	no
550	43796.0	no
551	51748.0	no
552	51748.0	no
553	191308.0	no
554	182951.0	no
555	208665.0	no
556	208665.0	no
557	213230.0	no
558	163158.0	no
559	226363.0	no
560	275501.0	no
561	263171.0	no
562	263171.0	no
563	245855.0	no
564	242310.0	no
565	171641.0	no
566	157546.0	no
567	157546.0	no
568	204543.0	no
569	204543.0	no
570	284167.0	no
571	250746.0	no
572	260420.0	no
573	260420.0	no
574	172970.0	no
575	406364.0	no
576	406364.0	no
577	377457.0	no
578	377457.0	no
579	391287.0	no
580	357647.0	no
581	391287.0	no
582	395226.0	no
583	344098.0	no
584	344098.0	no
585	344098.0	no
586	344098.0	no
587	344098.0	no
588	344098.0	no
589	378513.0	no
590	32974.0	no
591	32596.0	no
592	32596.0	no
593	32596.0	no
594	32922.0	no
595	32922.0	no
596	32922.0	no
597	55517.0	no
598	55517.0	no
599	55517.0	no
600	205317.0	no
601	205317.0	no
602	182145.0	no
603	28692.0	no
604	70197.0	no
605	46994.0	no
606	46994.0	no
607	46994.0	no
608	64248.0	no
609	64248.0	no
610	51685.0	no
611	70478.0	no
612	70478.0	no
613	72119.0	no
614	65214.0	no
615	65214.0	no
616	60772.0	no
617	64836.0	no
618	80989.0	no
619	51466.0	no
620	104157.0	no
621	104157.0	no
622	65811.0	no
623	81886.0	no
624	81886.0	no
625	81886.0	no
626	71932.0	no
627	94745.0	no
628	94745.0	no
629	110561.0	no
630	124035.0	no
631	81846.0	no
632	125291.0	no
633	90435.0	no
