start	stop	current_strength	previous_strength	value
26	121	0.0	0.0	0.0
159	280	0.0	0.0	0.0
319	449	0.0	0.0	0.0
1	10	15449266574.488636	15449237792.067669	0.0
0	0	1621755.2319257841	1543490.1435942047	0.0
293	302	719289.6460665347	715788.646810949	0.0
0	0	0.0	0.0	0.0
0	0	0.0	0.0	0.0
307	317	0.0	0.0	0.0
137	138	0.03626368080232234	0.03626368080232234	0.0
286	287	0.4345989941371916	0.4345989941371916	0.0
449	450	0.4442392557402668	0.4442392557402668	0.0
0	0	0.0	0.0	7.593119803892982e-08
0	0	0.0	0.0	1.1479392371503755e-07
11	25	0.0	0.0	0.0
122	132	0.0	0.0	0.0
133	143	0.0	0.0	0.0
144	159	0.0	0.0	0.0
281	291	0.0	0.0	0.0
292	302	0.0	0.0	0.0
303	318	0.0	0.0	0.0
