Iteration	Sum_of_Squares	Accepted
101	242036.6	yes
102	242036.6	yes
103	525725.6000000001	no
104	525725.6000000001	no
105	603132.6000000001	no
106	603132.6000000001	no
107	603132.6000000001	no
108	603132.6000000001	no
109	532967.2000000001	no
110	679336.4000000003	no
111	679336.4000000003	no
112	816721.4000000001	no
113	679336.4000000003	no
114	823994.8000000002	no
115	739499.0000000001	no
116	664473.4000000001	no
117	547451.2000000003	no
118	547451.2000000003	no
119	576591.2000000001	no
120	625170.8000000003	no
121	754895.2000000001	no
122	754895.2000000001	no
123	687516.8	no
124	588039.6000000002	no
125	687516.8	no
126	811117.4000000001	no
127	833781.4	no
128	770074.8	no
129	770074.8	no
130	708975.4000000001	no
131	607640.6000000001	no
132	591749.4	no
133	697017.4000000003	no
134	510661.60000000003	no
135	697017.4000000003	no
136	591749.4	no
137	511020.5999999999	no
138	510661.60000000003	no
139	510661.60000000003	no
140	582112.6000000001	no
141	610672.2	no
142	610672.2	no
143	610672.2	no
144	623356.8	no
145	623356.8	no
146	623356.8	no
147	541922.8000000002	no
148	611719.9999999999	no
149	582032.0000000002	no
150	618840.8000000003	no
151	650539.5999999999	no
152	751876.0	no
153	808803.0	no
154	768448.6000000001	no
155	703886.2000000002	no
156	703886.2000000002	no
157	720086.2000000001	no
158	685312.6000000001	no
159	685312.6000000001	no
160	685312.6000000001	no
161	687797.3999999999	no
162	755862.4	no
163	716873.0	no
164	716873.0	no
165	716873.0	no
166	825907.4000000001	no
167	818693.4	no
168	818693.4	no
169	818693.4	no
170	818693.4	no
171	788407.4000000001	no
172	829277.8	no
173	672914.4000000001	no
174	704597.4000000001	no
175	672914.4000000001	no
176	672914.4000000001	no
177	527663.8	no
178	672914.4000000001	no
179	728223.0	no
180	772087.4000000004	no
181	804736.6000000003	no
182	748218.6000000001	no
183	703292.8000000003	no
184	706209.4000000001	no
185	515252.6	no
186	659625.6000000001	no
187	659625.6000000001	no
188	577213.2000000002	no
189	577213.2000000002	no
190	662359.0000000002	no
191	676669.0000000002	no
192	659984.2000000002	no
193	725588.8	no
194	657652.6000000002	no
195	923771.4000000003	no
196	796844.2000000002	no
197	796844.2000000002	no
198	796844.2000000002	no
199	882225.6000000001	no
200	771429.8	no
201	771429.8	no
202	931310.2000000004	no
203	512796.9999999999	no
204	508306.19999999995	no
205	508306.19999999995	no
206	437522.00000000023	no
207	536654.6	no
208	462298.8	no
209	462298.8	no
210	317080.2	no
211	317080.2	no
212	317080.2	no
213	360690.40000000026	no
214	461440.0000000001	no
215	461440.0000000001	no
216	461440.0000000001	no
217	404239.6000000001	no
218	441092.0000000001	no
219	452883.80000000005	no
220	452883.80000000005	no
221	452883.80000000005	no
222	665243.6000000001	no
223	665243.6000000001	no
224	732313.2000000002	no
225	778421.7999999999	no
226	804588.8000000002	no
227	804588.8000000002	no
228	646508.8	no
229	680411.2000000003	no
230	617211.0000000002	no
231	617211.0000000002	no
232	1341785.6	no
233	911855.6000000001	no
234	989101.2000000003	no
235	977403.1999999998	no
236	1202791.2000000002	no
237	1202791.2000000002	no
238	977403.1999999998	no
239	977403.1999999998	no
240	950700.6000000003	no
241	950700.6000000003	no
242	1044534.4	no
243	984406.0000000002	no
244	1069248.4	no
245	1041248.2000000001	no
246	1188503.6000000006	no
247	1103962.2000000002	no
248	1103962.2000000002	no
249	1103962.2000000002	no
250	1103962.2000000002	no
251	1103962.2000000002	no
252	824970.0000000002	no
253	748986.8	no
254	748986.8	no
255	945189.8000000002	no
256	842611.6000000002	no
257	823138.0000000001	no
258	573603.0000000001	no
259	686071.0000000002	no
260	686071.0000000002	no
261	624436.6000000002	no
262	624436.6000000002	no
263	673300.4	no
264	519419.20000000007	no
265	604382.0000000001	no
266	604382.0000000001	no
267	626440.3999999999	no
268	626440.3999999999	no
269	626440.3999999999	no
270	394225.00000000006	no
271	678238.6000000001	no
272	678238.6000000001	no
273	486049.6000000001	no
274	486049.6000000001	no
275	486049.6000000001	no
276	486049.6000000001	no
277	486049.6000000001	no
278	486049.6000000001	no
279	671856.2000000003	no
280	665651.2	no
281	667789.2	no
282	667789.2	no
283	667789.2	no
284	643707.4000000001	no
285	647161.2000000002	no
286	817975.4000000001	no
287	817975.4000000001	no
288	881704.8000000002	no
289	909461.4	no
290	909461.4	no
291	821491.4000000001	no
292	787526.4000000003	no
293	751524.0000000002	no
294	806085.2000000002	no
295	806085.2000000002	no
296	869990.8000000002	no
297	877501.2000000001	no
298	866970.2000000002	no
299	866970.2000000002	no
300	779977.4	no
301	789202.3999999999	no
302	703057.2000000001	no
303	703057.2000000001	no
304	728575.8000000002	no
305	728575.8000000002	no
